Produto,Categoria,Preço Unitário (R$),Quantidade Vendida,Total de Vendas (R$),Data da Venda
Brinquedos Recently,Brinquedos,2967.23,20,59344.6,2024-09-20
Vestuário High,Vestuário,3948.71,20,78974.2,2024-04-03
Vestuário Administration,Vestuário,1951.2,10,19512.0,2024-06-30
Eletrodomésticos Eye,Eletrodomésticos,3047.48,8,24379.84,2024-02-04
Vestuário There,Vestuário,1332.97,7,9330.79,2024-11-15
Eletrodomésticos Cost,Eletrodomésticos,133.1,12,1597.2,2024-08-07
Vestuário College,Vestuário,2393.89,17,40696.13,2024-02-24
Eletrônicos Girl,Eletrônicos,4589.26,10,45892.6,2024-10-14
Móveis Real,Móveis,4024.21,2,8048.42,2024-06-06
Móveis Past,Móveis,216.59,8,1732.72,2024-04-30
Móveis Lawyer,Móveis,4258.66,18,76655.88,2024-10-11
Eletrodomésticos Security,Eletrodomésticos,3297.7,14,46167.8,2024-03-04
Vestuário Strong,Vestuário,4183.17,20,83663.4,2024-05-02
Vestuário They,Vestuário,1430.31,14,20024.34,2024-11-02
Brinquedos Author,Brinquedos,4971.67,17,84518.39,2024-08-29
Eletrodomésticos Community,Eletrodomésticos,3899.85,4,15599.4,2024-08-19
Eletrodomésticos Money,Eletrodomésticos,4407.11,20,88142.2,2024-07-02
Brinquedos Piece,Brinquedos,2601.23,4,10404.92,2024-06-20
Eletrônicos Hand,Eletrônicos,3509.47,12,42113.64,2024-08-03
Móveis Technology,Móveis,2295.17,15,34427.55,2024-06-04
Vestuário Center,Vestuário,2568.26,5,12841.3,2024-07-05
Vestuário Worry,Vestuário,1529.27,12,18351.24,2024-05-12
Vestuário Your,Vestuário,4289.58,3,12868.74,2024-07-07
Eletrônicos International,Eletrônicos,892.25,5,4461.25,2024-03-13
Móveis Far,Móveis,1393.17,19,26470.23,2024-02-27
Brinquedos Main,Brinquedos,1264.92,8,10119.36,2024-06-24
Eletrônicos Health,Eletrônicos,2269.51,11,24964.61,2024-10-02
Eletrodomésticos Page,Eletrodomésticos,3063.58,4,12254.32,2024-10-23
Eletrodomésticos Realize,Eletrodomésticos,4507.76,4,18031.04,2024-06-26
Eletrônicos Vote,Eletrônicos,836.76,14,11714.64,2024-05-10
Eletrônicos Value,Eletrônicos,4681.41,3,14044.23,2024-02-17
Eletrodomésticos Team,Eletrodomésticos,1382.65,4,5530.6,2024-10-10
Vestuário Bank,Vestuário,839.28,3,2517.84,2024-04-06
Brinquedos Too,Brinquedos,977.27,19,18568.13,2024-10-30
Vestuário Table,Vestuário,521.06,3,1563.18,2024-08-30
Móveis Inside,Móveis,1482.1,19,28159.9,2024-08-25
Eletrônicos Book,Eletrônicos,3640.39,16,58246.24,2024-03-28
Móveis Fish,Móveis,2743.52,12,32922.24,2024-04-10
Brinquedos By,Brinquedos,4921.01,6,29526.06,2024-10-08
Eletrônicos Of,Eletrônicos,494.78,16,7916.48,2024-01-25
Eletrônicos Court,Eletrônicos,3333.44,7,23334.08,2024-02-07
Eletrônicos Which,Eletrônicos,3534.61,6,21207.66,2024-09-17
Vestuário Common,Vestuário,3390.23,4,13560.92,2024-01-09
Móveis Quality,Móveis,4541.21,8,36329.68,2024-07-06
Brinquedos Coach,Brinquedos,4492.56,20,89851.2,2024-01-24
Brinquedos Network,Brinquedos,3823.93,5,19119.65,2024-06-25
Eletrônicos Nor,Eletrônicos,372.45,7,2607.15,2024-09-02
Vestuário Learn,Vestuário,1703.83,12,20445.96,2024-11-03
Eletrônicos Record,Eletrônicos,2211.36,2,4422.72,2024-06-30
Vestuário Issue,Vestuário,741.04,16,11856.64,2024-01-05
Eletrodomésticos Task,Eletrodomésticos,1796.05,14,25144.7,2024-05-17
Brinquedos Statement,Brinquedos,514.55,4,2058.2,2024-09-11
Brinquedos Employee,Brinquedos,4868.48,8,38947.84,2024-01-05
Brinquedos Market,Brinquedos,3734.09,16,59745.44,2024-07-31
Brinquedos Interest,Brinquedos,3783.55,5,18917.75,2024-04-18
Eletrodomésticos Attention,Eletrodomésticos,1328.07,10,13280.7,2024-06-02
Eletrodomésticos Front,Eletrodomésticos,658.32,15,9874.8,2024-11-10
Brinquedos Town,Brinquedos,1507.05,5,7535.25,2024-02-02
Eletrônicos Score,Eletrônicos,3493.94,10,34939.4,2024-06-30
Eletrônicos Meet,Eletrônicos,1213.31,17,20626.27,2024-07-16
Vestuário Single,Vestuário,1124.17,11,12365.87,2024-02-13
Eletrodomésticos Begin,Eletrodomésticos,3957.22,4,15828.88,2024-10-20
Eletrônicos Nature,Eletrônicos,2671.34,15,40070.1,2024-05-24
Móveis Maintain,Móveis,2000.35,11,22003.85,2024-10-20
Brinquedos Work,Brinquedos,3949.3,18,71087.4,2024-01-31
Móveis Floor,Móveis,3494.6,11,38440.6,2024-03-04
Eletrônicos Majority,Eletrônicos,2522.71,1,2522.71,2024-05-27
Móveis Him,Móveis,2729.24,12,32750.88,2024-10-08
Eletrodomésticos Hard,Eletrodomésticos,885.98,19,16833.62,2024-05-22
Eletrodomésticos Yeah,Eletrodomésticos,1942.73,19,36911.87,2024-03-27
Eletrônicos Stop,Eletrônicos,2656.87,5,13284.35,2024-05-24
Vestuário Strategy,Vestuário,143.91,4,575.64,2024-09-28
Eletrônicos Nation,Eletrônicos,4842.59,20,96851.8,2024-06-22
Móveis Usually,Móveis,2920.07,5,14600.35,2024-02-22
Móveis Similar,Móveis,342.23,10,3422.3,2024-06-25
Vestuário What,Vestuário,2384.12,15,35761.8,2024-07-20
Brinquedos Cause,Brinquedos,931.0,8,7448.0,2024-02-17
Eletrônicos Out,Eletrônicos,1114.91,11,12264.01,2024-09-02
Móveis Plant,Móveis,343.11,9,3087.99,2024-10-20
Eletrônicos Down,Eletrônicos,2301.36,2,4602.72,2024-07-03
Móveis Follow,Móveis,4222.8,15,63342.0,2024-08-21
Eletrodomésticos Note,Eletrodomésticos,2119.03,15,31785.45,2024-02-01
Brinquedos Suffer,Brinquedos,3692.2,6,22153.2,2024-08-13
Eletrônicos Mention,Eletrônicos,603.97,19,11475.43,2024-01-07
Vestuário Follow,Vestuário,4156.13,9,37405.17,2024-11-06
Móveis Song,Móveis,3808.77,13,49514.01,2024-04-19
Vestuário Body,Vestuário,339.45,19,6449.55,2024-05-24
Eletrônicos Ball,Eletrônicos,1277.76,12,15333.12,2024-09-18
Eletrodomésticos Hospital,Eletrodomésticos,3570.06,4,14280.24,2024-04-19
Eletrônicos Learn,Eletrônicos,2147.33,6,12883.98,2024-05-29
Brinquedos Western,Brinquedos,790.07,3,2370.21,2024-05-01
Móveis Party,Móveis,538.52,20,10770.4,2024-04-19
Eletrônicos Idea,Eletrônicos,2381.21,8,19049.68,2024-09-20
Eletrodomésticos Individual,Eletrodomésticos,4897.29,1,4897.29,2024-03-18
Eletrônicos Child,Eletrônicos,4484.6,5,22423.0,2024-08-12
Eletrônicos Ok,Eletrônicos,4309.9,6,25859.4,2024-06-05
Brinquedos Church,Brinquedos,2595.61,14,36338.54,2024-07-15
Eletrodomésticos Another,Eletrodomésticos,3826.27,11,42088.97,2024-05-02
Vestuário Key,Vestuário,2989.58,14,41854.12,2024-05-04
Eletrônicos Thing,Eletrônicos,2015.33,14,28214.62,2024-07-11
Eletrônicos Believe,Eletrônicos,3678.36,12,44140.32,2024-10-29
Eletrodomésticos Throughout,Eletrodomésticos,208.29,9,1874.61,2024-09-09
Eletrodomésticos National,Eletrodomésticos,3211.61,9,28904.49,2024-05-05
Vestuário Nor,Vestuário,2618.7,9,23568.3,2024-07-08
Eletrodomésticos Clearly,Eletrodomésticos,1680.51,10,16805.1,2024-06-03
Brinquedos Capital,Brinquedos,1345.85,1,1345.85,2024-02-15
Brinquedos Smile,Brinquedos,3530.31,10,35303.1,2024-06-06
Vestuário Although,Vestuário,2433.6,7,17035.2,2024-05-03
Vestuário Watch,Vestuário,2763.2,9,24868.8,2024-11-04
Eletrodomésticos Fish,Eletrodomésticos,209.49,20,4189.8,2024-04-21
Eletrodomésticos How,Eletrodomésticos,1621.83,14,22705.62,2024-03-12
Eletrodomésticos Discussion,Eletrodomésticos,4283.41,9,38550.69,2024-10-29
Eletrodomésticos Defense,Eletrodomésticos,2255.43,8,18043.44,2024-01-24
Eletrônicos Step,Eletrônicos,4048.85,15,60732.75,2024-08-31
Móveis Say,Móveis,1557.27,8,12458.16,2024-04-11
Eletrodomésticos Low,Eletrodomésticos,2103.28,20,42065.6,2024-11-05
Eletrônicos Attention,Eletrônicos,2710.21,2,5420.42,2024-08-10
Vestuário Should,Vestuário,2257.72,12,27092.64,2024-06-27
Eletrônicos Assume,Eletrônicos,1504.09,9,13536.81,2024-02-15
Brinquedos Of,Brinquedos,485.89,15,7288.35,2024-01-20
Eletrodomésticos Around,Eletrodomésticos,2014.13,15,30211.95,2024-05-06
Brinquedos Trouble,Brinquedos,2122.51,15,31837.65,2024-08-16
Móveis Hotel,Móveis,1318.12,6,7908.72,2024-05-02
Eletrodomésticos Film,Eletrodomésticos,4543.6,19,86328.4,2024-03-11
Vestuário Gun,Vestuário,994.05,6,5964.3,2024-02-18
Eletrônicos Area,Eletrônicos,2915.52,4,11662.08,2024-10-11
Eletrodomésticos Newspaper,Eletrodomésticos,3028.28,19,57537.32,2024-10-27
Móveis Sport,Móveis,1096.07,15,16441.05,2024-07-06
Móveis Far,Móveis,1611.15,14,22556.1,2024-02-28
Brinquedos Matter,Brinquedos,4874.31,10,48743.1,2024-11-24
Eletrônicos Moment,Eletrônicos,1424.22,3,4272.66,2024-08-13
Eletrodomésticos Focus,Eletrodomésticos,2447.71,3,7343.13,2024-01-08
Eletrônicos Director,Eletrônicos,2352.38,19,44695.22,2024-08-22
Eletrodomésticos Safe,Eletrodomésticos,1542.35,15,23135.25,2024-08-01
Eletrodomésticos Program,Eletrodomésticos,1775.03,16,28400.48,2024-06-11
Vestuário Stay,Vestuário,459.45,6,2756.7,2024-10-08
Brinquedos Owner,Brinquedos,284.7,18,5124.6,2024-11-09
Eletrodomésticos Them,Eletrodomésticos,730.3,2,1460.6,2024-09-07
Brinquedos Coach,Brinquedos,546.63,4,2186.52,2024-05-06
Vestuário Democratic,Vestuário,4144.58,14,58024.12,2024-10-18
Eletrônicos Big,Eletrônicos,1929.83,11,21228.13,2024-08-08
Brinquedos Treat,Brinquedos,571.22,4,2284.88,2024-07-02
Móveis Create,Móveis,4944.07,19,93937.33,2024-10-13
Móveis Why,Móveis,1415.35,1,1415.35,2024-02-28
Brinquedos Business,Brinquedos,1497.31,18,26951.58,2024-04-19
Eletrodomésticos Air,Eletrodomésticos,2608.54,12,31302.48,2024-10-07
Vestuário Mrs,Vestuário,240.52,8,1924.16,2024-10-14
Eletrônicos Activity,Eletrônicos,1806.61,17,30712.37,2024-10-08
Eletrônicos Hit,Eletrônicos,4729.76,5,23648.8,2024-10-07
Eletrodomésticos Financial,Eletrodomésticos,2257.04,16,36112.64,2024-01-29
Eletrônicos Probably,Eletrônicos,3172.56,11,34898.16,2024-05-01
Brinquedos Drug,Brinquedos,1592.0,16,25472.0,2024-04-27
Móveis These,Móveis,344.21,7,2409.47,2024-07-31
Eletrodomésticos Own,Eletrodomésticos,816.42,20,16328.4,2024-05-08
Eletrodomésticos Main,Eletrodomésticos,2232.73,4,8930.92,2024-08-22
Móveis Environment,Móveis,3544.41,3,10633.23,2024-08-10
Brinquedos Important,Brinquedos,4911.02,3,14733.06,2024-01-02
Móveis Series,Móveis,1200.95,15,18014.25,2024-08-18
Móveis Discover,Móveis,3690.49,13,47976.37,2024-06-21
Eletrodomésticos Dark,Eletrodomésticos,3611.52,16,57784.32,2024-03-02
Móveis Man,Móveis,1385.88,14,19402.32,2024-09-22
Móveis Agreement,Móveis,1024.04,5,5120.2,2024-03-11
Eletrodomésticos Pressure,Eletrodomésticos,4826.62,10,48266.2,2024-11-26
Vestuário Suggest,Vestuário,1218.38,15,18275.7,2024-08-27
Vestuário White,Vestuário,4549.08,5,22745.4,2024-01-20
Eletrodomésticos Eye,Eletrodomésticos,3785.79,5,18928.95,2024-01-25
Móveis Suddenly,Móveis,2798.01,10,27980.1,2024-09-17
Móveis Rate,Móveis,4221.32,8,33770.56,2024-09-19
Vestuário Common,Vestuário,2266.95,1,2266.95,2024-05-12
Eletrônicos Certain,Eletrônicos,1245.06,19,23656.14,2024-06-19
Eletrônicos Establish,Eletrônicos,3600.38,13,46804.94,2024-11-04
Eletrônicos Painting,Eletrônicos,1450.18,15,21752.7,2024-11-12
Eletrônicos Rule,Eletrônicos,4343.24,3,13029.72,2024-03-20
Brinquedos Building,Brinquedos,799.5,13,10393.5,2024-01-18
Móveis Marriage,Móveis,4779.93,4,19119.72,2024-04-29
Brinquedos Worry,Brinquedos,2910.95,12,34931.4,2024-10-23
Vestuário Trip,Vestuário,3194.09,2,6388.18,2024-02-16
Vestuário Explain,Vestuário,4734.46,1,4734.46,2024-07-18
Eletrodomésticos Certain,Eletrodomésticos,961.02,20,19220.4,2024-05-15
Eletrodomésticos Record,Eletrodomésticos,4797.3,13,62364.9,2024-03-19
Eletrodomésticos Child,Eletrodomésticos,4094.09,10,40940.9,2024-07-03
Móveis Collection,Móveis,2500.9,4,10003.6,2024-01-08
Eletrodomésticos Consider,Eletrodomésticos,2818.47,13,36640.11,2024-07-08
Eletrodomésticos Middle,Eletrodomésticos,3453.89,2,6907.78,2024-10-08
Brinquedos Your,Brinquedos,2759.06,9,24831.54,2024-01-18
Vestuário Fish,Vestuário,1290.63,8,10325.04,2024-05-31
Vestuário Herself,Vestuário,3080.56,4,12322.24,2024-10-21
Brinquedos Nature,Brinquedos,1701.17,16,27218.72,2024-10-07
Móveis Remember,Móveis,3628.36,18,65310.48,2024-04-18
Móveis Not,Móveis,986.5,8,7892.0,2024-05-24
Eletrônicos Special,Eletrônicos,331.18,6,1987.08,2024-04-01
Eletrônicos Provide,Eletrônicos,1335.39,10,13353.9,2024-04-06
Eletrônicos After,Eletrônicos,3835.16,1,3835.16,2024-07-03
Móveis Activity,Móveis,1003.26,9,9029.34,2024-04-05
Vestuário Quite,Vestuário,3265.03,9,29385.27,2024-09-05
Eletrodomésticos Move,Eletrodomésticos,4300.44,9,38703.96,2024-03-27
Móveis Life,Móveis,1835.19,19,34868.61,2024-01-21
Brinquedos Media,Brinquedos,241.53,9,2173.77,2024-07-22
Eletrônicos Seat,Eletrônicos,4994.25,2,9988.5,2024-11-02
Vestuário Language,Vestuário,3470.28,10,34702.8,2024-07-28
Brinquedos School,Brinquedos,767.11,4,3068.44,2024-04-20
Eletrônicos Treatment,Eletrônicos,1741.9,4,6967.6,2024-10-19
Móveis Data,Móveis,3349.81,8,26798.48,2024-10-30
Eletrodomésticos Away,Eletrodomésticos,2532.34,5,12661.7,2024-09-12
Brinquedos Most,Brinquedos,2231.63,20,44632.6,2024-03-20
Vestuário Edge,Vestuário,3798.92,2,7597.84,2024-08-06
Móveis Believe,Móveis,2183.7,5,10918.5,2024-03-28
Eletrodomésticos Fear,Eletrodomésticos,4424.4,12,53092.8,2024-09-27
Brinquedos Bad,Brinquedos,3055.0,16,48880.0,2024-06-22
Móveis Human,Móveis,4204.85,15,63072.75,2024-08-28
Eletrodomésticos Their,Eletrodomésticos,4988.26,2,9976.52,2024-02-05
Eletrônicos So,Eletrônicos,4568.64,18,82235.52,2024-06-25
Móveis Few,Móveis,317.49,14,4444.86,2024-07-09
Eletrônicos Talk,Eletrônicos,2604.91,11,28654.01,2024-07-07
Vestuário Allow,Vestuário,1050.91,8,8407.28,2024-04-16
Vestuário Sell,Vestuário,4763.35,12,57160.2,2024-08-27
Vestuário Month,Vestuário,4906.65,18,88319.7,2024-03-11
Eletrodomésticos Necessary,Eletrodomésticos,3223.98,2,6447.96,2024-09-30
Brinquedos Above,Brinquedos,590.24,9,5312.16,2024-05-23
Eletrodomésticos Act,Eletrodomésticos,788.07,5,3940.35,2024-06-06
Vestuário Expect,Vestuário,1793.54,6,10761.24,2024-07-15
Eletrodomésticos Best,Eletrodomésticos,4196.65,5,20983.25,2024-01-21
Vestuário Position,Vestuário,2986.93,8,23895.44,2024-09-29
Eletrodomésticos Page,Eletrodomésticos,1164.66,12,13975.92,2024-08-10
Móveis Idea,Móveis,2506.3,1,2506.3,2024-05-03
Vestuário Military,Vestuário,2647.07,4,10588.28,2024-08-27
Eletrônicos Police,Eletrônicos,1353.57,2,2707.14,2024-02-23
Brinquedos Administration,Brinquedos,1050.55,11,11556.05,2024-01-13
Eletrônicos Production,Eletrônicos,3140.25,4,12561.0,2024-01-24
Eletrodomésticos Right,Eletrodomésticos,1706.7,11,18773.7,2024-05-06
Eletrônicos Watch,Eletrônicos,702.46,10,7024.6,2024-07-24
Móveis Before,Móveis,1521.42,19,28906.98,2024-01-30
Eletrodomésticos International,Eletrodomésticos,1653.04,17,28101.68,2024-05-28
Eletrodomésticos Response,Eletrodomésticos,3657.68,4,14630.72,2024-06-11
Brinquedos Draw,Brinquedos,1419.0,19,26961.0,2024-10-30
Eletrônicos Section,Eletrônicos,2834.67,7,19842.69,2024-09-14
Brinquedos Manage,Brinquedos,1088.86,14,15244.04,2024-02-28
Vestuário Head,Vestuário,2434.49,8,19475.92,2024-01-02
Eletrônicos Window,Eletrônicos,3453.26,8,27626.08,2024-01-01
Eletrodomésticos And,Eletrodomésticos,842.8,9,7585.2,2024-09-18
Brinquedos Unit,Brinquedos,2538.84,16,40621.44,2024-05-28
Vestuário Trip,Vestuário,3049.42,9,27444.78,2024-02-22
Móveis Director,Móveis,1306.57,12,15678.84,2024-11-19
Vestuário Some,Vestuário,622.62,2,1245.24,2024-05-26
Móveis It,Móveis,4661.25,18,83902.5,2024-03-25
Eletrodomésticos Laugh,Eletrodomésticos,2029.15,8,16233.2,2024-06-12
Eletrodomésticos Realize,Eletrodomésticos,1313.8,12,15765.6,2024-10-25
Brinquedos Enjoy,Brinquedos,482.06,11,5302.66,2024-02-22
Brinquedos Education,Brinquedos,4303.83,17,73165.11,2024-04-21
Eletrônicos Feeling,Eletrônicos,3439.28,8,27514.24,2024-04-04
Brinquedos Alone,Brinquedos,3477.73,3,10433.19,2024-04-09
Brinquedos Career,Brinquedos,1802.99,20,36059.8,2024-02-12
Móveis Community,Móveis,1345.09,1,1345.09,2024-09-26
Eletrônicos Data,Eletrônicos,867.82,11,9546.02,2024-02-09
Vestuário Project,Vestuário,171.27,10,1712.7,2024-08-11
Eletrônicos Catch,Eletrônicos,2269.15,18,40844.7,2024-01-11
Eletrodomésticos Future,Eletrodomésticos,3469.2,1,3469.2,2024-07-29
Vestuário Day,Vestuário,3247.38,4,12989.52,2024-10-18
Eletrodomésticos Property,Eletrodomésticos,3062.48,4,12249.92,2024-02-03
Móveis Bed,Móveis,4896.48,12,58757.76,2024-03-01
Vestuário Everybody,Vestuário,2648.36,8,21186.88,2024-03-31
Brinquedos Simply,Brinquedos,4080.82,10,40808.2,2024-04-30
Eletrônicos Environment,Eletrônicos,2262.97,16,36207.52,2024-09-27
Eletrônicos Without,Eletrônicos,422.58,20,8451.6,2024-01-24
Móveis Learn,Móveis,418.93,15,6283.95,2024-02-16
Móveis Stock,Móveis,1317.09,2,2634.18,2024-02-08
Eletrônicos Than,Eletrônicos,2866.34,17,48727.78,2024-06-04
Brinquedos Under,Brinquedos,2717.82,5,13589.1,2024-06-23
Eletrodomésticos Day,Eletrodomésticos,4719.88,19,89677.72,2024-08-23
Eletrodomésticos Chair,Eletrodomésticos,3983.38,13,51783.94,2024-08-15
Eletrônicos Participant,Eletrônicos,1493.89,14,20914.46,2024-07-16
Eletrodomésticos Sometimes,Eletrodomésticos,4335.86,16,69373.76,2024-11-05
Móveis Lose,Móveis,3758.07,4,15032.28,2024-02-06
Brinquedos Future,Brinquedos,1328.7,10,13287.0,2024-10-09
Eletrodomésticos Indicate,Eletrodomésticos,572.0,19,10868.0,2024-11-24
Vestuário Garden,Vestuário,3615.2,11,39767.2,2024-06-12
Brinquedos Among,Brinquedos,85.77,20,1715.4,2024-11-19
Brinquedos Performance,Brinquedos,1223.07,17,20792.19,2024-02-26
Eletrodomésticos Make,Eletrodomésticos,3595.77,18,64723.86,2024-05-07
Eletrônicos Discussion,Eletrônicos,599.95,7,4199.65,2024-09-03
Eletrônicos Summer,Eletrônicos,879.19,16,14067.04,2024-11-12
Vestuário Where,Vestuário,2856.52,15,42847.8,2024-06-23
Brinquedos Republican,Brinquedos,656.19,9,5905.71,2024-07-04
Eletrônicos Develop,Eletrônicos,1049.3,20,20986.0,2024-05-19
Vestuário May,Vestuário,2148.96,13,27936.48,2024-01-12
Eletrodomésticos Stage,Eletrodomésticos,1783.6,9,16052.4,2024-07-30
Eletrodomésticos Career,Eletrodomésticos,4387.32,3,13161.96,2024-01-18
Vestuário Same,Vestuário,3197.95,1,3197.95,2024-10-31
Brinquedos Federal,Brinquedos,2203.35,1,2203.35,2024-09-07
Brinquedos Laugh,Brinquedos,1061.77,19,20173.63,2024-11-10
Móveis Beautiful,Móveis,2325.62,17,39535.54,2024-03-02
Eletrônicos Nothing,Eletrônicos,3163.3,17,53776.1,2024-06-18
Eletrônicos Heavy,Eletrônicos,2178.28,11,23961.08,2024-07-05
Móveis Near,Móveis,1794.56,11,19740.16,2024-08-15
Vestuário Easy,Vestuário,1041.24,15,15618.6,2024-01-19
Vestuário North,Vestuário,2669.27,11,29361.97,2024-03-10
Eletrônicos Assume,Eletrônicos,2566.35,17,43627.95,2024-02-24
Eletrônicos New,Eletrônicos,3838.72,8,30709.76,2024-08-31
Eletrônicos Beat,Eletrônicos,3272.43,6,19634.58,2024-02-13
Eletrodomésticos Cup,Eletrodomésticos,2315.47,20,46309.4,2024-10-10
Brinquedos Under,Brinquedos,1741.39,11,19155.29,2024-07-13
Móveis Town,Móveis,138.65,4,554.6,2024-10-21
Eletrodomésticos Unit,Eletrodomésticos,1287.6,3,3862.8,2024-02-25
Vestuário Style,Vestuário,2605.68,18,46902.24,2024-11-10
Vestuário Detail,Vestuário,2989.41,11,32883.51,2024-11-09
Eletrônicos Senior,Eletrônicos,272.83,15,4092.45,2024-01-30
Eletrodomésticos Turn,Eletrodomésticos,2803.84,17,47665.28,2024-06-20
Móveis All,Móveis,4471.83,14,62605.62,2024-10-29
Eletrodomésticos Half,Eletrodomésticos,2473.04,15,37095.6,2024-02-09
Eletrônicos Military,Eletrônicos,503.47,11,5538.17,2024-08-25
Eletrodomésticos Stop,Eletrodomésticos,2130.36,7,14912.52,2024-09-10
Eletrônicos Mr,Eletrônicos,542.28,19,10303.32,2024-03-08
Vestuário Weight,Vestuário,4971.64,6,29829.84,2024-08-08
Brinquedos According,Brinquedos,3138.31,8,25106.48,2024-02-29
Eletrônicos Front,Eletrônicos,3661.35,20,73227.0,2024-07-13
Eletrônicos Color,Eletrônicos,3611.36,8,28890.88,2024-07-30
Vestuário Hope,Vestuário,1008.3,18,18149.4,2024-08-07
Vestuário Community,Vestuário,1788.45,8,14307.6,2024-01-04
Brinquedos Movement,Brinquedos,4550.19,8,36401.52,2024-08-08
Brinquedos Design,Brinquedos,583.58,12,7002.96,2024-08-17
Brinquedos Friend,Brinquedos,1868.06,15,28020.9,2024-03-08
Eletrônicos Require,Eletrônicos,3743.4,20,74868.0,2024-02-19
Móveis Ever,Móveis,2441.14,9,21970.26,2024-05-24
Eletrônicos House,Eletrônicos,4851.49,19,92178.31,2024-09-01
Eletrônicos Kind,Eletrônicos,1401.7,9,12615.3,2024-06-18
Eletrônicos President,Eletrônicos,109.06,3,327.18,2024-02-08
Brinquedos You,Brinquedos,225.02,12,2700.24,2024-03-08
Vestuário Possible,Vestuário,3004.43,9,27039.87,2024-11-25
Eletrodomésticos Serious,Eletrodomésticos,516.21,20,10324.2,2024-09-15
Vestuário Total,Vestuário,3349.78,20,66995.6,2024-03-14
Eletrodomésticos Likely,Eletrodomésticos,862.95,12,10355.4,2024-07-09
Vestuário Size,Vestuário,189.58,6,1137.48,2024-05-05
Vestuário Close,Vestuário,1031.82,15,15477.3,2024-10-02
Eletrodomésticos Everything,Eletrodomésticos,4056.47,5,20282.35,2024-06-30
Eletrodomésticos Those,Eletrodomésticos,1807.62,10,18076.2,2024-11-02
Móveis They,Móveis,2718.47,18,48932.46,2024-10-10
Móveis Situation,Móveis,2865.8,17,48718.6,2024-05-24
Eletrônicos Feeling,Eletrônicos,301.88,17,5131.96,2024-02-16
Eletrodomésticos Along,Eletrodomésticos,4585.33,14,64194.62,2024-10-25
Vestuário Large,Vestuário,75.94,8,607.52,2024-10-01
Eletrônicos Mention,Eletrônicos,2486.32,4,9945.28,2024-01-18
Eletrodomésticos Others,Eletrodomésticos,487.96,8,3903.68,2024-01-21
Móveis Five,Móveis,4228.81,17,71889.77,2024-07-12
Brinquedos Hand,Brinquedos,3489.31,13,45361.03,2024-04-05
Brinquedos Establish,Brinquedos,4933.27,3,14799.81,2024-05-01
Brinquedos Always,Brinquedos,1238.09,1,1238.09,2024-09-19
Brinquedos Scene,Brinquedos,4215.38,15,63230.7,2024-07-01
Eletrônicos Fire,Eletrônicos,829.08,15,12436.2,2024-01-01
Brinquedos New,Brinquedos,1927.97,13,25063.61,2024-02-20
Brinquedos Manager,Brinquedos,2367.79,10,23677.9,2024-01-09
Móveis Opportunity,Móveis,3732.0,18,67176.0,2024-08-16
Móveis Officer,Móveis,2570.81,17,43703.77,2024-03-24
Brinquedos Figure,Brinquedos,703.57,11,7739.27,2024-11-11
Vestuário Game,Vestuário,4574.78,1,4574.78,2024-09-26
Eletrodomésticos At,Eletrodomésticos,3240.11,8,25920.88,2024-10-13
Móveis Quality,Móveis,4369.27,19,83016.13,2024-08-04
Eletrônicos What,Eletrônicos,770.72,20,15414.4,2024-09-30
Vestuário Win,Vestuário,4997.73,5,24988.65,2024-10-28
Móveis Administration,Móveis,884.02,9,7956.18,2024-09-10
Eletrônicos Modern,Eletrônicos,959.71,1,959.71,2024-04-13
Eletrodomésticos Soldier,Eletrodomésticos,532.69,11,5859.59,2024-06-24
Brinquedos Guess,Brinquedos,1320.6,20,26412.0,2024-01-16
Eletrônicos Ago,Eletrônicos,3070.75,20,61415.0,2024-02-26
Móveis Raise,Móveis,2571.88,4,10287.52,2024-01-13
Brinquedos Imagine,Brinquedos,109.41,2,218.82,2024-10-17
Vestuário Box,Vestuário,1278.88,3,3836.64,2024-09-30
Brinquedos Paper,Brinquedos,3856.11,14,53985.54,2024-03-16
Brinquedos Any,Brinquedos,2090.56,3,6271.68,2024-08-03
Brinquedos Raise,Brinquedos,1980.86,12,23770.32,2024-07-24
Brinquedos This,Brinquedos,2088.68,13,27152.84,2024-03-03
Vestuário Carry,Vestuário,2151.74,13,27972.62,2024-01-18
Eletrodomésticos Together,Eletrodomésticos,1832.36,20,36647.2,2024-08-07
Brinquedos Water,Brinquedos,3771.15,2,7542.3,2024-02-21
Eletrônicos Just,Eletrônicos,1197.42,11,13171.62,2024-08-25
Móveis At,Móveis,4510.38,15,67655.7,2024-10-23
Brinquedos Matter,Brinquedos,1607.35,17,27324.95,2024-02-25
Vestuário Mean,Vestuário,2244.21,17,38151.57,2024-03-05
Brinquedos Popular,Brinquedos,2891.86,4,11567.44,2024-04-24
Móveis Seem,Móveis,4170.18,4,16680.72,2024-05-11
Eletrônicos Break,Eletrônicos,342.67,10,3426.7,2024-06-11
Eletrodomésticos Maintain,Eletrodomésticos,3758.79,17,63899.43,2024-07-14
Móveis And,Móveis,2071.72,19,39362.68,2024-06-18
Móveis Story,Móveis,1524.59,9,13721.31,2024-08-13
Eletrônicos There,Eletrônicos,1053.09,20,21061.8,2024-01-15
Móveis Phone,Móveis,4108.96,3,12326.88,2024-09-19
Eletrônicos Inside,Eletrônicos,3195.71,15,47935.65,2024-01-01
Eletrodomésticos Country,Eletrodomésticos,3733.94,14,52275.16,2024-06-20
